Weekday,Day_of_week,Ride_Date,started_on,completed_on,start_lat,start_long,end_lat,end_long
0,7,1/15/2017,2017-01-15 14:47:53-06:00,2017-01-15 15:01:09-06:00,30.266,-97.74,30.237,-97.752
0,7,1/15/2017,2017-01-15 14:48:14-06:00,2017-01-15 15:03:07-06:00,30.251,-97.69,30.254,-97.748
0,7,1/15/2017,2017-01-15 14:48:18-06:00,2017-01-15 14:53:21-06:00,30.277,-97.761,30.27,-97.749
0,7,1/15/2017,2017-01-15 14:48:18-06:00,2017-01-15 14:57:24-06:00,30.327,-97.703,30.391,-97.723
0,7,1/15/2017,2017-01-15 14:48:20-06:00,2017-01-15 14:54:11-06:00,30.249,-97.758,30.27,-97.75
0,7,1/15/2017,2017-01-15 14:48:29-06:00,2017-01-15 15:05:01-06:00,30.243,-97.727,30.281,-97.747
0,7,1/15/2017,2017-01-15 14:48:30-06:00,2017-01-15 14:55:27-06:00,30.253,-97.748,30.265,-97.741
0,7,1/15/2017,2017-01-15 14:48:38-06:00,2017-01-15 14:58:57-06:00,30.233,-97.753,30.258,-97.739
0,7,1/15/2017,2017-01-15 14:48:40-06:00,2017-01-15 15:14:02-06:00,30.193,-97.895,30.366,-97.729
0,7,1/15/2017,2017-01-15 14:48:43-06:00,2017-01-15 15:02:31-06:00,30.248,-97.737,30.203,-97.666
0,7,1/15/2017,2017-01-15 14:48:57-06:00,2017-01-15 15:01:49-06:00,30.276,-97.753,30.258,-97.739
0,7,1/15/2017,2017-01-15 14:48:59-06:00,2017-01-15 15:02:45-06:00,30.292,-97.746,30.27,-97.748
0,7,1/15/2017,2017-01-15 14:49:06-06:00,2017-01-15 15:08:03-06:00,30.237,-97.757,30.16,-97.834
0,7,1/15/2017,2017-01-15 14:49:14-06:00,2017-01-15 15:08:19-06:00,30.256,-97.735,30.203,-97.667
0,7,1/15/2017,2017-01-15 14:49:34-06:00,2017-01-15 14:54:53-06:00,30.282,-97.74,30.276,-97.753
0,7,1/15/2017,2017-01-15 14:49:35-06:00,2017-01-15 14:56:14-06:00,30.287,-97.744,30.277,-97.737
0,7,1/15/2017,2017-01-15 14:49:47-06:00,2017-01-15 15:00:54-06:00,30.283,-97.741,30.258,-97.728
0,7,1/15/2017,2017-01-15 14:49:53-06:00,2017-01-15 15:03:03-06:00,30.347,-97.754,30.267,-97.744
0,7,1/15/2017,2017-01-15 14:50:14-06:00,2017-01-15 15:06:54-06:00,30.281,-97.755,30.233,-97.731
0,7,1/15/2017,2017-01-15 14:50:21-06:00,2017-01-15 15:13:08-06:00,30.235,-97.718,30.284,-97.723
0,7,1/15/2017,2017-01-15 14:50:25-06:00,2017-01-15 15:05:54-06:00,30.261,-97.704,30.293,-97.745
0,7,1/15/2017,2017-01-15 14:50:29-06:00,2017-01-15 15:04:47-06:00,30.218,-97.687,30.257,-97.808
0,7,1/15/2017,2017-01-15 14:50:31-06:00,2017-01-15 15:09:50-06:00,30.322,-97.73,30.259,-97.739
0,7,1/15/2017,2017-01-15 14:50:35-06:00,2017-01-15 15:14:31-06:00,30.392,-97.75,30.203,-97.668
0,7,1/15/2017,2017-01-15 14:50:46-06:00,2017-01-15 14:54:44-06:00,30.259,-97.739,30.264,-97.743
0,7,1/15/2017,2017-01-15 14:50:52-06:00,2017-01-15 15:17:26-06:00,30.432,-97.771,30.203,-97.667
0,7,1/15/2017,2017-01-15 14:50:57-06:00,2017-01-15 14:57:36-06:00,30.256,-97.753,30.261,-97.738
0,7,1/15/2017,2017-01-15 14:51:10-06:00,2017-01-15 15:00:40-06:00,30.271,-97.753,30.268,-97.741
0,7,1/15/2017,2017-01-15 14:51:13-06:00,2017-01-15 15:04:27-06:00,30.29,-97.751,30.261,-97.738
0,7,1/15/2017,2017-01-15 14:51:25-06:00,2017-01-15 14:59:22-06:00,30.379,-97.651,30.378,-97.688
0,7,1/15/2017,2017-01-15 14:51:49-06:00,2017-01-15 15:00:13-06:00,30.256,-97.763,30.261,-97.738
0,7,1/15/2017,2017-01-15 14:51:50-06:00,2017-01-15 15:08:11-06:00,30.19,-97.779,30.19,-97.779
